BusPosition{identifier=11626, status=true, positionX=-46.72148312499999, positionY=-23.514126, timeStamp=Thu Feb 06 09:37:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 09:38:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 09:39:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 09:40:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 09:41:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 09:42:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 09:43:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 09:44:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 09:45:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 09:46:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.703082124999995, positionY=-23.520219875000002, timeStamp=Thu Feb 06 09:47:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 09:48:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 09:49:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 09:50:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 09:51:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7599515, positionY=-23.502548249999997, timeStamp=Thu Feb 06 11:27:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7599515, positionY=-23.502548249999997, timeStamp=Thu Feb 06 11:28:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757965375, positionY=-23.504029000000003, timeStamp=Thu Feb 06 11:29:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.758765999999994, positionY=-23.5052125, timeStamp=Thu Feb 06 11:30:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.758765999999994, positionY=-23.5052125, timeStamp=Thu Feb 06 11:31:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.754715000000004, positionY=-23.508440999999998, timeStamp=Thu Feb 06 11:32:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.752585124999996, positionY=-23.508373624999997, timeStamp=Thu Feb 06 11:33:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 11:34:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74769525000001, positionY=-23.50873975, timeStamp=Thu Feb 06 11:35:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74769525000001, positionY=-23.50873975, timeStamp=Thu Feb 06 11:36:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747356749999994, positionY=-23.51175, timeStamp=Thu Feb 06 11:37:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74520475, positionY=-23.513713125000002, timeStamp=Thu Feb 06 11:38:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Thu Feb 06 11:39:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Thu Feb 06 11:40:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.739793875, positionY=-23.5159345, timeStamp=Thu Feb 06 11:41:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Thu Feb 06 11:42:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.736247500000005, positionY=-23.508764125, timeStamp=Thu Feb 06 11:43:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 11:44:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Thu Feb 06 11:45:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.726766, positionY=-23.516726, timeStamp=Thu Feb 06 11:46:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7244029375, positionY=-23.514503124999997, timeStamp=Thu Feb 06 11:47:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7244029375, positionY=-23.514503124999997, timeStamp=Thu Feb 06 11:48:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7244029375, positionY=-23.514503124999997, timeStamp=Thu Feb 06 11:49:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7157625, positionY=-23.514815125, timeStamp=Thu Feb 06 11:50:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712071249999994, positionY=-23.518752375, timeStamp=Thu Feb 06 11:51:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712071249999994, positionY=-23.518752375, timeStamp=Thu Feb 06 11:52:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.711556, positionY=-23.520210499999997, timeStamp=Thu Feb 06 11:53:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Thu Feb 06 11:54:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7084225, positionY=-23.522312749999998, timeStamp=Thu Feb 06 11:55:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.706975125, positionY=-23.519370625, timeStamp=Thu Feb 06 11:56:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.704980000000006, positionY=-23.520230625000003, timeStamp=Thu Feb 06 11:57:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.704980000000006, positionY=-23.520230625000003, timeStamp=Thu Feb 06 11:58:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 11:59:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 12:00:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:01:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:02:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:03:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:04:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:05:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:06:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:07:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:08:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:09:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:10:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:11:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 12:12:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7596525, positionY=-23.502682749999998, timeStamp=Thu Feb 06 13:01:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7596525, positionY=-23.502682749999998, timeStamp=Thu Feb 06 13:02:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757965375, positionY=-23.504029000000003, timeStamp=Thu Feb 06 13:03:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7585925, positionY=-23.5049755, timeStamp=Thu Feb 06 13:04:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7585925, positionY=-23.5049755, timeStamp=Thu Feb 06 13:05:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.755875, positionY=-23.506729999999997, timeStamp=Thu Feb 06 13:06:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.754323, positionY=-23.508516999999998, timeStamp=Thu Feb 06 13:07:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.754323, positionY=-23.508516999999998, timeStamp=Thu Feb 06 13:08:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Thu Feb 06 13:09:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747656500000005, positionY=-23.5080375, timeStamp=Thu Feb 06 13:10:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.747656500000005, positionY=-23.5080375, timeStamp=Thu Feb 06 13:11:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7477495, positionY=-23.510188499999998, timeStamp=Thu Feb 06 13:12:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74692706249999, positionY=-23.51316625, timeStamp=Thu Feb 06 13:13:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74692706249999, positionY=-23.51316625, timeStamp=Thu Feb 06 13:14:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74497825, positionY=-23.513501375, timeStamp=Thu Feb 06 13:15:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74497825, positionY=-23.513501375, timeStamp=Thu Feb 06 13:16:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74497825, positionY=-23.513501375, timeStamp=Thu Feb 06 13:17:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.74497825, positionY=-23.513501375, timeStamp=Thu Feb 06 13:18:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.738119749999996, positionY=-23.513821749999998, timeStamp=Thu Feb 06 13:19:00 BRST 2014}
